内容,标签
主要是办事便利才选择“霉园”宾馆 房间有霉味耶 三星宾馆可能是淮安标准 没有服务 连台灯都没有不过早餐是绝对绿色 五谷杂粮 品种也多,0
小巧散热性好，女士用很轻便，比公司的hp轻很多。 自身带的vista系统用了赠送的内存条稍微快了些。问题暂时没有发现，不过声音感觉太小。,2
看完了这本书，唯一收获是-----作者告诉你要爱惜自己的身体，可这我早已知道了,0
订了三本书，却只给我送来两本！！！缺了这一本！！真的不明白！！明明定单上是成功下单的，但却送少了一本！！无奈！！！需要改善系统！！谢谢！！,1
"这款电脑是M35系列,是今年的最新款,外观很漂亮,散热也很好,做工相当扎实.",2
"性价比高,和其它牌子的电脑相比,大概相同的配置,会贵1000元左右",2
散热良好，运行速度快，这个价位对应这样的配置，没得说的！！,2
屏幕和外面的保护玻璃紧密相连，如果不幸被硬物撞到，屏幕很容易受损！真人真唱的铃声形同鸡肋，仅仅七秒钟，有和没有没什么差别！没有红外和蓝牙，只能用数据线传输文件！上网时，偶尔有死机现象！数字键设计不合理，1、2、3这三个数字键与滑开之后的上盖距离太近，影响操作！中文输入时的键位不合理，拼音输入时，1和0是确认键，2——0是输入键；拼音有重复时，*和#是前后选择键......总之是很繁琐！,0
"屏幕有点窄,不过好像上网的小本都是这种屏幕.可能是新产品的问题,只有一种黑颜色的,如果有其他颜色会更好.",0
没有他们说的那么好，根本就提不起我的兴致,0
房间装修陈旧，下水管堵塞，晚上折腾了2个多小时，还是没有修好。,0
朋友推荐了电影，看后总觉得演绎的不够完美、细腻，这一直是我对电影和读书的理解。读完后亦如自己的预料。被故事中超越常理的感情感动，“爱情”又一次在年龄上展现她的不可预料。无语沉思，生活中总是有一些眼睁睁进退两难的事情，为何，还要如此的执着？这就是爱。米夏，自从与汉娜邂逅，好像他此生就为她而来，被米夏感动，为汉娜庆幸。在这个短暂脆弱的生命里，何必对对错错恩恩怨怨反复纠缠。,2
暮光之城开始看的时候觉得并没有其他魔幻小说的文笔写的好，可能是翻译的原因吧，总是觉得在周转方面有些僵硬。不过后来看下去却觉得越来也好看，然后达到了疯狂迷恋的程度。怎么说呢，这本书给人的感觉是，它描述的情感很真实，虽然这个故事不是真实的，这种感情让人感动，故事情节也非常的好，恩，虽然这本书有西方魔幻的一贯特色，就是每本书的结尾都要来刺激一下，就像哈利波特系列一样，呵呵~~,2
"因为看到书评写得很好,所以才买的,但书买回来后,儿子不一点都不喜欢,我只好自己看啦,觉得不好看,怪不得吸引不到儿子啦!",1
什么全球最大的中文网上商城，我呸！乱发货不说，客服态度差、处理速度慢、不主动。想忽忧消费者呀？,0
是看到排行才买的，但是书既大又乱乱。没一张上都买卖的全是画。我不喜欢，但是儿子还行。作为讲故事的我，看起来没有感觉所以也就无法投入。,1
这书可能是按外国的格式编写的，个人感觉不够有吸引力，不如国内的儿童书籍趣味性强，不适应中国国情。,0
同款配置下，性价比非超高，主流配置，一下也淘汰不了。。。目前的行情下，用这个价位买这个配置，真的超值。。。,2
【荐书】人手一本一点也不夸张，就是你需要读一读得好书。,2
发货超慢～  还叫快递？！！ 都过了9天了， 还没到，就是只在工作日投递，也过了7天了。搞什么搞啊～！,0
支持SD/MMC卡，可扩充内存是我买他的最大原因；mp3的播放功能还可以，虽然声音没有索爱的W系列大；滑盖手感好，有质感；运行速度还可以，比我以前用的一款moto快多了。,2
只能发彩信而不能收到彩信,0
"我定了3本书,只收到1本,这本没送货,也不知理由",0
边看边哭！！！我怎么买了这本流水帐？！幼稚，后悔呀！！！,0
非常满意,2
aggerssive 书中却拼成了aggresive 书的正文和背面都有这种错误，请作者和出版商给读者一个合理解释，并纠正此错！这也是商家信誉问题！,0
"要不是飞机到达时间22点才不会选择此酒店,外面飞机的声音很大,隔音效果很差,房间也一般.晚上有骚扰电话,下次不会选择.",0
根本提不上4星，不知是谁评的级。前台服务态度很差，Check in的时候，前台小姐已与前面的两位客人发生争执了，也不为自己的态度而抱歉，并把我凉了10几分钟，问另一小姐为什么不给我登记，她的理由是“我以为你是和他们一起的”晕。。。房间费用是768/night，与房间设施实在差距甚远，连个亮一点的吊灯都没有，全是昏暗的房头灯，弄得心情特郁闷。隔音设施也太差，早上6点多，马路的车水马龙的声音吵到无法入睡了。所谓的早餐，真是不知道该怎么形容了，总共就那么几样，能吃的就只有2到3样了，餐厅的服务生更有意思，不知是不是热情过度，你还在吃着，但盘子里剩的东西已不多，她们就老来收你的碗，也不问你是否还需要，感觉像厨房里少了盘子，急着回收。　总之一点，不论是设施或服务，根本就只有3星。,1
这套书错过了好多次，最后还是在朋友的推荐下买了。真庆幸，没有一直错过。小时候，我最喜欢看瑞典的阿。林格伦的作品，什么《屋顶上的卡尔松》《淘气包埃米尔》，陪我度过了难忘的童年时光。直到现在，每当看到那个风格的图画，都会触动我心底最温馨的记忆。派老头和菲菲 也是这样的故事。幽默，温馨，女儿三岁，非常喜欢，常常要求我，看看那个发怒的公牛，看看菲菲斗鸡。相信这也会成为女儿温馨的童年印象。,2
"当当书多,服务差,承诺退的书 还是没有退",0
这是第三次点评，纯粹是为了拿积分。没什么可以多说了，服务不错。,2
"也许黄金海岸有自己的酒店评级机构,给此中心评了个""四星"",不然不好意思收四五百的房租啊!也就二星的标准,大堂里蚊子那叫一个多...卫生间和浴室的门都关不上,的用手扶着!电话不响,得用自己的手机. 毛巾不知是哪年的了，估计本世纪初的产品。装修用的是最低档的地砖和大理石...另外，当地民风极差，无论你在酒店里，海滩上，外面餐馆，只要你出手消费，必定挨宰！ 下次宁愿远赴青岛威海，也不来黄金海岸，南戴河了。海水的品质，也如当地酒店和民风，差！",0
卧槽。 呵呵。蒙牛这样没良心的企业。等着灭亡吧！！！,0
用了一些日子了，最近这机子出现怪事，我如果只开振动不要铃声的话，在设置中选正常或会议状态的时候振动都不振？！但是如果先听了一段铃声再设振动的话，就能正常使用，晕，以前都不知道，试过N次才知道。还有我的595的电池板越来越松了，用着用着总是出现”请检查sim卡“的字样，郁闷啊~~,1
散热相当好，简单，没有附送什么垃圾软件，屏幕是LED-LCD的，呵呵，比我自己用的强多了，样子比较商务，按键也还好哦，,2
"不知道天津宾馆都这样，还是这里确实差,总的来说，如果有选择，我绝对不会住这里了再,弄脏东西还要自己付费,难道他们平时都不换床单,如果你不弄脏的话?",0
"08.2.9入住该酒店,我觉得酒店其他方面都很好,唯一欠缺的是气派的大堂总是充满了油烟味.",2
1.键盘弹性适中，手感很不错。2.软体操作相当简便。3.价位公道。,2
这本书对于浙江的介绍还是比较全面的，风格有点类似lonely planet系列，但是显然功力还是不足。也许是因为面面俱到，反而对于重点景物介绍显得有点单薄。所以，实际到了应用中还是会有不少欠缺，不过在同类产品中应该已经是相当不错的一本了。希望对于景点的典故介绍再加强一些，如果类似Frommer's那个系列的话，也许会更好，个人是比较希望能够不要导游也能深度游览相关景点，并了解一些历史和文化的。,1
"于丹的<<论语心得>>简直就是胡说八道。除了《论语》之外,她讲的全都对!她的演讲对于构建和谐社会很有好处，却歪曲了孔子的基本精神。这本书叫《于丹心得》更准确一些。",0
内蒙基层官员：蒙牛伊利没任何毛病 源头不安全 http:t.cn/zjzckIt （分享自 @新浪财经）,0
文字再好，也不能抹掉为人的无耻！胡兰成试图用美丽的爱情来掩饰他的无耻，可是，就算喷上香水，狗屎也不会变成鲜花的。他滥情，打一枪换一个地方，负了众多女人，却认为自己给了这些女人幸福，无耻！他寡情，结发妻子病重将亡，他却因为怕天气路难而不肯赶回见最后一面，他吧别人对他的鄙视当作别人对他的惧怕和退让，他把别人的疏离当成是别人该刊他不敢靠近，可笑！不过也幸亏他这样自以为是，不知所谓，否则，他怎有脸面做了汉奸还那么洋洋自得呢？,0
播放高清影片时候出现边缘严重锯齿现象，如果对这方面比较感冒或者想用此本本来看影视的话建议考虑一下,0
请协成不要再介绍是准四星未挂牌的该酒店，最好不要再与这家酒店合作，有损你们公司声誉。还不如好的招待所，只有表面功夫，位置很吵，旁边就是公路，服务很差，整个酒店很脏，床单，枕套，地毯。。。只能和衣而睡，半夜空调变暖气，热死你，浴室脏，不敢洗澡。早餐无法吃，餐具脏，食物差。在酒店的一家旅行社也很不正规。第二天立刻走人，心情差。补充点评 2007年10月8日 ： 当然服务生也很差,0
东西不错，货真价实，快递也快，安装方便，只是得自己提供安装配件钱，价格不菲啊！,0
地理位置优越，房间挺温馨，服务不错。商旅选择。,2
居然是蒙牛……我是不喝呢，还是不喝呢？,0
吃完饭打算买一支特仑苏，居然7元，饭堂小卖部姐姐你是乱打价的吗，七元，七元一支陶园的。果断换了蒙牛,2
书的质量很好，纸张很厚实，画面很漂亮，图画很大，但都很幼稚，不适合三年级的孩子看，（我女儿就读三年级），我女儿说不喜欢，特别是一本英语单词的书，纯粹就是单词荟萃。,1
这本书是听朋友说，没事的时候在当当到得，刚送到的时候最吸引我的是那些水结晶的图片，那些水结晶的图片太美了，真的饿从没有想到过水的结晶更能这样神奇，我家是黑龙江的，对水比较神奇的认识就是我们家冰雪大世界里的冰灯，那些雕琢虽然很美，可以用巧夺天工来形容但是都是为了迎合游客的欣赏而制作的，对水的结晶认识从来没有赋予他生命，真的很好看，让你人的心灵更加的纯洁，像水的结晶一样！,1
酒店设施有点陈旧，但地处市中心地带，交通方便，服务也很好，携程的预定价格很公道，可以作为一个出差的选择,1
公司饭堂的牛奶居然是蒙牛和伊利的，太坑爹了。。。我要晨光。。。,0
评价说得花好稻好，也就是一个偏僻的小酒店，酒店规模十分小，房间勉强可以，但是窗口对面不到5米就是破旧的居民楼，这个性价比好像也太差了些。几乎付了5星级豪华酒店的价格（定的是商务套房），实在性价比不高。宾馆反馈 2008年6月3日 ： 尊敬的客人，感谢您对星逸酒店提出的宝贵意见。星逸酒店是国家旅游局核定的四星精品商务酒店。我们希望通过最优质的服务让您再次体验到细致入微、彰显尊贵的感受。,1
"操作起来不是很方便,有时很慢,不小心会把所有的文件删除掉,外壳太松,信号不是很好,有时联键,不太好用.",0
明显是跟 别笑，我是英文单词书的  内容很一般  感觉像拼凑出来的书  买了之后再看当当上的评论  感觉很多是书托不喜欢，不喜欢这种过于明显的跟风书   如果跟的话  拜托也用点心好的呀,0
因为对此套书，女儿重复看的频率太高，让我很是担心，我不会再去购买此套书了，虽然她普及了科学知识，但也正它垄断了女儿读书爱好。每天抱着一大堆这套书，读来读去。我曾看过有人这样评价漫画书，说漫画书是甜点，所有的孩子都喜欢漫画书，就象喜欢爱吃的甜点，但只吃甜点，是会影响孩子生长的。此套书我已买了二十来本，打住不再购买了。我认为一两本值得拥有，但没必要象我这样大批量购入。,1
扬子岛酒店的位置很好，逛街、购物、吃饭、娱乐都很方便，酒店对面就是大都会和太平洋商场，背后就是美美百货。酒店的装修也很不错，干净整洁。最重要的是，价格也比较便宜。总之，作为一家四星级的酒店，扬子岛不管是服务还是环境都非常的到位，甚至感觉比一些五星级酒店要好。不过，扬子岛自己本身的健身中心、娱乐设施我们没有尝试过，因此不做评论。,2
吃货在蒙牛工业园,0
我的易美950使用快一个月了，总的来说，我感觉还是比较不错的。一、屏幕显示色彩鲜艳，显示效果很好： 950使用的是TFT材质，显示效果明亮，色彩鲜艳逼真，尤其是在阳光下仍能看得很清楚，比STN或CSTN等强多了；分辩率也比较高。二、铃声比较动听，声音也比较大：950是40和弦的，声音比较大，也比较动听，有电子音乐、古典音乐、普通铃声、语音及其他等，种类多，可供你选择。三、键盘布局合理，很耐用：950键盘设计的我感觉还是比较合理的，视觉效果很好。四、待机时间较长：950有两电两充，一薄电和一厚电，待机时间比较长了，有三天之多。五、机子速度较快：950总体来说，速度还是很快的，就是发短信是比较慢，同v10不相上下。六、通话音质不错：通话时声音很大，音质总的来说不错，只是在家中时不时有点交流声，在外面就很好。,2
房间有异味，入住时室外低于10度，但房间的中央调只有冷风！！！！室内设施陈旧！户外声音较嘈杂！只能在大堂看到服务员！总体非常不好！应该只能算是准二星！,1
基本上我判断作品的好坏都是以我哭不哭得出来作为标准的（变态啊……= =）。但是让我哭那么多次的书在我从小到大的记忆中就那么一本（看哭的经典文学仅此一本）。看着文字真正能感受到他们栩栩如生地在你面前。每每李青缓缓地开始对弟娃的回忆时，总感觉一种悲伤的空气上升，上升，将看文字的人包裹起来，甚至渴望代替他呼喊，代替他哭泣……总之，本书堪称经典，错过就可惜了~,1
选料做工都不错，拿在手里很有质感。自带的数码相机也挺好，可外接闪光灯，支持视频拍摄功能，效果也说的过去。还有延时录制及播放功能，视频及图像可通过E-mail或MMS短信与文字及声音一起发到别的手机上。电话本的容量也够大，内置Modem，速度也还可以接收，最关键的是刚降完价。,2
这是我住过的最差的酒店了。我指的是管理。1前台对宾馆位置不熟悉，宁波过来的出租车问他是否在新碶区，就听到前台一边听电话，一边翻纸头的声音，估计是地图，汗。。。2问有否无烟房，答，房间里都有烟灰缸，一般不抽，可是客人要抽也没法控制。晕！需要培训无烟房的概念？3酒店结帐时有电话消费，我说不可能，我都是打手机的。前台再三说肯定不会弄错。我查了时间，突然想起那段时间我进房间有看到电工在自说自话修房间的灯（我没有报修过）。我就让他们查记录，总算查到是打前厅主管的手机，酒店自己人用客人房间电话打手机，还诬赖客人，真是闻所未闻。4让酒店洗衣时特地有分开水洗和干洗，傻瓜都明白干洗的肯定比较脏。结果送来时像没洗过样。质疑后说重洗，耽误了我的穿用切不说，第二天我就要退房，让送别的我即将住的酒店，满口答应。可是退房时却无人知道此事。如果我不是多个心眼问一句，恐怕衣服就石沉大海了。说好送来的，时间过了也没送，后来再打电话催促，总算送来了，可是让我更失望的是居然还是没洗干净，而且奇怪的是本来干净的地方也出现点点油斑，真不知道是在洗衣服还是在穿衣服。严重怀疑该酒店外包洗衣处的出身。5电工修灯也不跟客人打招呼，客房出入没有第二人在场。修完后墙灰都在被面上，没人打扫。6携程拿房靠近附近的夜总会，晚上吵到十二点钟才安歇。投诉后也没说可以换房。总之对此宾馆印象极差。宾馆反馈 2007年11月9日 ： 首先酒店对客人表示深深的歉意，也很感谢您提的这些意见。酒店已加强对员工的培训力度，让每位员工有更强的服务意识。我们会好好吸收各位客人的意见及批评，有则改之，无则加冕。希望各位客人是我们酒店的监督员，在你们的监督下让我们做的更好。谢谢！,0
酒店涨价了，可是性价比并没有国内如家的好！不知道酒店啥原因价格比如家还高点，总体来说还是比如家差点！,0
电池不行，在连续3次充电12小时后，电池还是只能顶1小时40分钟。在电池剩余电量99%的时候显示还可用电1小时59分钟，实际使用1小时40分钟。,0
根据大家的点评选择了这家酒店，总体感觉还是很不错的。此次预定的豪华A，因无房免费升级到行政间。房间比较宽敞，干净整洁，隔音不错，服务很温馨：千纸鹤，小便笺，还有清凉的绿豆汤和水果。点点细节体现着一个四星级酒店的服务。满意。再说点小插曲。在前台，服务生查看了预订情况，推荐我升级，我谢绝了他们的提议。之后说我订的是双床间，我说我要大床间（貌似预订时是无法选择大床还是双床的），接着便打电话询问有没有豪华大床间，听着他们一会儿说有一会儿说没有，弄得我一头雾水，最后告诉我：现在没有房间，因为这是酒店的缘故，所以给我免费升级。这个小插曲虽然让人有点不快，但终究本着顾客是上帝的原则去解决问题，比较满意。以后还会选择这里。宾馆反馈 2008年8月13日 ： 感谢您选择国宾大酒店入住并对酒店予以认可。看您的评论，猜想您可能是通过网络直接预订的房间吧？通过网络直接订房没有对房间特殊要求的选项(例如大床等特殊要求)。如果订房对房间有特殊要求，建议您拨打电话预订，酒店和携程的预订人员会共同做好记录，按您的要求提前准备房间。携程订房电话：800-820-6666，400-820-6666（手机）；酒店订房电话：0311-86911999。再次对您的点评表示感谢！祝心情舒畅，一切顺利。,1
钢琴烤漆的表面会容易留下指纹、划痕。有人评价C盘太大，但这种分区方法几乎是所有出厂笔记本的通用方法！,1
酒店位置距离南苑机场打车￥31元。性价比差。建议住大红门附近，距南苑机场近些。,0
"据说是经典中的经典，也承认它好。但是不知道为什么，随意翻开，却发现这本书的写法采用严密的科学体系，按照西方人的逻辑、分类的路子撰写而成，从中选取一页，却有一丝枯燥的味道。相比这种体系严密的严肃读物，我惜乎更喜欢“驱使万物如军队,不如让万物卸甲归田,一路有言笑”的散文化读物，譬如培根的议论文，譬如蒙恬的随笔那一路。当然也就是初初而起的想法和感觉，也许放一段时间想法又有不同。",1
于丹的心得，在电视上看过，也上网看过，记得在大学的时候老师还放给我们看过， 现在看有书，就买了一本，翻了翻感觉挺好，还有书签，印刷是彩色的，也很好。,0
为什么我订购了此书却没有发货给我???,0
数码相机像数11万也忒低了吧，而且内存也那么一点点不支持JAVA。另一方面就是铃声不怎么好听,0
我们都应该反思！时间无法停留，更不可能倒流！幸好，我们可以反思，可以总结！还能希望！一直感觉中国的教育是有很大问题的！没有好的学生？没有好的老师？没有好的学校？似乎都是，又似乎都不是！于是很高屋建瓴的来一句：是制度出问题了！——放之四海而皆准！对于这种说法，我一向敬而远之！说制度出问题了，在我看来不啻是一种借口！因为是制度的问题，而制度不是你我能左右的，于是就不是你我的问题了！,2
非常差的酒店，还不如连锁经济酒店，要不是襄樊没有其他酒店靠近东风，肯定不会再选它。差劲！！,0
十八，你又给了我一次感悟，是生活的感悟。在这里，我谢谢你，也衷心地祝福你。爱情具有排他性，这是你让我明白的事实。左手和十八：记得左手对十八说过，“如果有一天，你真的走投无路了，记得找我。”这也许是他给自己的一个祈望，更是一个无言的期限。但十八知道，一直都明白，她再怎么无路可走，也不可能去投奔左手。撇开尊严不说，只因为他们两个不对等。即使有再多的相似经历也不可能在一起生活。他有他的卑微，她有她的放不下。她和他只能做兄弟，如果不做兄弟会更痛。欧阳和十八：就像十八自己说的那样，欧阳是大理石，而她只是花岗岩；欧阳是白马王子，而她不是那个灰姑娘。即使十八明白了那英文诗的内涵，也不会告诉欧阳自己对他也有好感。对十八而言，她与欧阳，就好比黑夜与白天，只能对望，不能在一起。有，也只是交替的那一霎间的擦身而过的窃喜。也许十八不知道，自己对欧阳的那份好感，可能是自己给另外一个人感情的延伸。或许欧阳只是一个影子，十八心心念念的那个人的影子。只是那时侯，他给她的恨，淹没了十八心中的悸动。其实那份爱还依然埋藏在心灵最底处。曲莫浮和路芳菲：因为曲莫浮知道结局，一切都已被注定了，所以他只能将她当成宝贝，静静地守候，不求拥有。曲莫浮也知道，左手喜欢十八，可是爱莫能助。现在和将来，都已被过去注定了。左手说，“我从一开始就错了，不管我怎么退，都没有一个象样的开始。”在爱情面前，谁都不够诚实，这是潜意识。谁能真正的做到成全呢？如果成全了，还会在原地盘旋吗？就一定会有碧海蓝天吗？谁也无法保证。只因为自己渺小得可怜。友情也存在着排他性。就因为知道，所以十八才会问“阿瑟，如果在你们毕业后，我有了新朋友，你会不会嫉妒？”阿瑟回答，“不会，因为我们是兄弟。” 十八是小诺的好朋友，所以小诺不希望十八跟杜小兮和祝小希走得那么近。曲莫浮是李遥的好朋友，而李遥是十八的好朋友。曲莫浮说，“要想做更好的朋友，就必须不让人知道谁和谁单独在一起聊过天。”为什么一定要排他呢？因为谁也不想被落单，心灵上的落单。流离火，让我懂得了一念之间。,1
写短信不方便，主要表现在在车公交车上时不能很方便的发短信，但是所有的手写手机都这样，不能扩充内存，内存太小，只能存10首歌曲。这就意味着MP3、MP4功能是多余的MP3播放不能后台运行，电池使用时间3天左右。手机备忘录只能输入40个汉字，80个英文字母。手机游戏太少，而且简单。,1
我每天都喝 我不喝蒙牛已经很多年了，也不会再相信蒙牛了。,0
"这个酒店真的不如照片所显示的那么好.如果有评0分或负分的话就更好了.谈谈我的这次入住吧.12.1.中午到达酒店,1701房间,开门就能看到洗手间,入住后洗澡.于是噩梦发生了.一个漂亮的妹妹用她的房卡把房门打开了.于是我便赤裸裸的站在了她的面前,更糟糕的是她的男朋友还好奇地把头探了过来...我把房门关好,然后致电前台,得到的回答是""我们需要合适您刚才说的情况"".好吧,我等,5分钟过去了,我在打电话到前台,""我们还没有查清楚"".我的神啊,我在洗澡时一个陌生的女人闯入我的房间,我要求酒店管理人员给我一个说法,你居然说要核实,我他妈的有必要骗你吗.下楼,""请问1701房间的事情处理得怎么样了?""说了四遍后,可爱的前台小姐告诉我,她不知道.于是我问紧挨着她的另一个,唯一的另一个服务员,她告诉我,是她接的电话,她们还在核实.对不起,ctrip.我愤怒了.我要求见它们的领导,在我提出要求它们道歉,书面的.它们说它们的领导不在,我kao,站在我面前的四个人居然没有一个是领导.于是,咆哮.接着它们把我领到吧台后的房间,在房间里,我见到了它们的领导,一个母性的女人.承诺我会满足我的要求,但直到今天我没有见到它们的任何的人来给我一个说法,除了免一天房费,和一份水果外.说房间吧.床还可以.房顶开裂非常厉害,有股奇怪的异味,我买了香水喷过才好些.面盆在床头,非常的不舒服.排风扇的声音不是一般的大.洗手间设计非常不合理,洗澡时水会到处流,非常的不卫生.要收费的项目的物品有消费陷阱.我发誓,top star的酒店我是不会再住了.一群低劣的人是不会懂得如何定义酒店的.",1
"时尚,便携.散热较好,20度室温下使用一个小时,键盘冰凉,触摸板两侧微热。价格平易近人，作为上网本很合适。包装内附送白色人造革内胆包，有MSI标志，和机器很般配。接口充足，3个USB，1个读卡器，外加LAN和显示器接口，满足基本的外设需求。使用时，顶盖上的MSI标志会发光，在光线较暗时很显眼。旅行重量在2kg以内，名副其实的超薄本。总的来说，这是一款定位明确，价格适中的上网本，",2
相当好的一本书，系统的解释了数独的解法，并简单说明了其发展的历史，可以看出作者强悍的理科背景。但显然作者对商业规则一窍不通。在互联网这么发达的时代，竟然不跟进对附带光盘程序的及时更新，而且拙人我至今未能在任何电脑上成功运行。可见作者在此事上粗糙的态度。总体而言，是一本数独方面的中文杰作，所以强烈推荐！,1
这书不是很喜欢，我女儿5岁了，这书我认为不适合中国的儿童，其中有一本，完全就是学英语的单词书，如果要教孩子必须要求家长有标准的发音，这对外国孩子来说也就是一本2岁以内的识物书，没意义，如果要学英语，同类的专业教材要好的多，而且有很多情节和中国国情不同，孩子不好理解。,0
请各位注意酒店提供的饮用水是自来水，这是前台服务员说的。所以各位千万不能生喝酒店提供的饮用水。2008年了，北京的酒店还是这种水平，真是令人心寒。,0
"最大的优势是距火车站很近,坐公交去龙门石窟、关林庙等景点十分方便。宾馆设施太陈旧，电视效果差。",0
这《论语》也太通俗浅薄了一小时读完，火速送人了，趁别人还以为它很好的时候心疼我的银子呀,0
"当初我就是因为看了很多好评才买的这本书，虽说钱不多，但本人向来不是胡乱花血汗银子之人，尤其是兴致勃勃地胡乱花更是少之又少，这本书是个特例。实在搞不懂怎么会有那么多人给好评，看来这年头大家对书的要求太低了，是个人就可以写书了吧！强迫自己看了这本书的大部分内容，也还是没有得到什么实质性的东西,现在是务时社会啊,浪费我的银子就算了,可也不能再浪费我的宝贵的生命啊!我家本已不大，此书无异于鸡肋,有位仁兄说的好,炒作,没错,就是炒作,且煸动性极强。以上纯属个人愚见，仅供参考！",1
看了《公平定律》中兄弟恩怨一章，我想说“一个巴掌拍不响”，孙寅贵在替自己辩解洗冤，反而让观者心生反感。孙老板有钱用1500万炒作此书，为什么迫不及待地要卖自己天津百龙公司呢！,0
"对用户安装系统和驱动的服务支持不好 随机资料和官网上没有任何相关的安装说明,要用户自己摸索,查找,下载.  安装过程中有""暗门"",如BIOS设置、HDMI安装等.容易导致不了解的人不能装全驱动.　",0
我用的就是M16，很不错的机子，3个月前买的，一眼就看到了这只酒红色的机子，通体全红，很漂亮，天线的设计很有特点：与机身一个颜色也是红的，上柱面做个斜坡设计，感觉十分像一支旋出的口红，呵呵，挺有女人味的机子。这机子铃声我也很喜欢，和弦的，屏也不错，虽然不是主流设计，但是显示清晰，颜色也好，我用着没什么不好的感觉。就是有一点，有点费电，可能是双屏的缘故，如果能有省设计就更好了,1
因为悦华酒店没房间了，才通过携程定泉州酒店的。虽然最喜欢的还是悦华，其实感觉泉州酒店的装修和气派还是在悦华之上，就是服务和早餐差悦华了。,2
凌晨近二点到店，就我一个客人在前台办手续，办了十分钟才办好，更郁闷的是酒店竟然开了一个没有打扫过的房间给我，房号463，住了这么多年的酒店还是第一次发生此类事件，凌晨二点拉着行李在酒店里至少走100米的走廊跑个来回，再下来换一个房间，酒店值班经理为此送了一份早餐。希望下次不要再次发生此类事件。第二天早上8点多退房，前台6个服务员，竟然没有一个人接待，最后还是发火了才有人理我们，如家现在真的是越来越差了，基本快放弃入住如家连锁。房间是木板隔开的，隔音超差，2点到2点半，隔壁嘿咻嘿咻，早上5点钟又开始，这次沈阳入住总共才6个小时，十分不愉快。,0
因为本人的短信量较大，使用这个机子发现它的键盘的反应太慢，我又是急性子，就觉得不太满意，建议玩短信的朋友不要选择它。使用了k388一段时间之后，我发现它有很多的问题，键盘的漆质量不好，非常容易磨损，现在我的手机才使用几个月，外观很新，但打开后，键盘的状况吓死人。还有，这机子的电话本不知道怎么回事，自从上次从手机复制到sim卡，再复制回来之后，手机自己就开始自做主张，每次开机，都会消失几个名单，或重复几个名单，我快被气死了，现在我每天还得随身带着电话本，不知道这手机的电话簿是不是用来做装饰的。,1
这本书是我们同事推荐的，现在已是公司人手一册啦！如果是第一次养育宝宝，会有意想不到的收获，重要的是教会你注重宝宝的个性，保护宝宝的个性，如何避开护理的误区，如何第一时候掌握病情，如何第一时间解决问题，如何预见和防护宝宝的安全。如果你是自己带宝宝就会觉得有信心处理好，在你看来意想不到，但对于宝宝来说却是非常自然的生理情况。经历了，就会爱上这本书！,1
西夏的狂热追随者必备，可以作为工具书来用，很不错，毕竟在对西夏的研究方面，俄罗斯有太多的资料和实物，绝大多数东西我们不能在国内看到，对比国内研究文献参照阅读很有收获！书目系统清晰，资料翔实，查找使用都很方便……我最喜欢的是最后相当大量的西夏文字，基本是可以当作一本夏汉互译小词典来用，这点上感觉非常超值！毕竟当年的那本《夏汉字典》要1000块钱，现在还买不到了！！！,2
我家的是男孩子，四岁了，对这个书一点兴趣也没有～～,0
性能强悍，P8600的U，单条2G DDR2 800内存，独显，完美屏，同等配置其他品牌最少也得7000 Vista评分：CPU5.3 内存：5.3  硬盘5.3  显卡驱动还没有装：1.0,2
怎么都两个多星期了 还没有收到 书。。。气愤。。。。,0
6199买的，相比其他网友，没有赶上5850的特价，买贵了，连个VISTA、驱动光盘都不送。机器比想像中的要厚重。我没有京东5000-200券。,0
1.自提点对账太慢了，我买了好久，一直不能评论 2. 风扇有点响，需要用eeectl控制一下 3. 没有num lock 和 caps lock指示灯！！！ 害我老是登录密码不对 4. 有点厚重了。。,0
装系统还是挺麻烦的，驱动又不太好找，散热口在左手这边，散热口会热，但是手托处和键盘上面不会热。光驱运行的时候振得太厉害了，放在腿上跟按摩器一样！,1
"现在觉得还是值得购买的.我们现在听了近一个月,基本上能背出第一本来,第二本已经在听了.字还没认.每天在家就听,想想反正还小,上小学前三年功夫,相信不管怎么样,总是能全部弄熟了吧.一千多个词汇量,最主要还有语感,还有自然科学知识.至少家里总是有了英语环境.",2
前台人员太少，我住进酒店当天前台只有一名服务人员，而且是实习生。而后面却排着10名顾客在等。,0
相当棒的一本书，和爱上咖啡一起买的，是近年来少见的踏实有内容的书籍，实在很棒很诚恳，所有内容都言之有物，踏踏实实，多年经验的总结和累积，真真正正是心血之作，不论给的建议还是评论，都厚道诚恳平和淡定，非常好非常好，对作者表示感万分感谢。如果看的很熟悉了，也算大半个行家了美中不足：影印的图片有的有些许重影，影响了一点效果，但是瑕不掩瑜,1
很多观点我都认为和论语的真正含义想去深远，但书的印刷质量还可以,1
大家这段时间不要去住，他们施工吵死人了！并且，房间里的提示上说是8：30才开始施工，结构7：40就开始，找他们解决了一早上，到8：30一直没有停止过！到了8：30他们就更有理了，继续开始施工！,0
