标签,内容
0,这本书，我才读了二篇就被吸引住了。作者很有才气，写出了自己的真情实感，说得上是文笔清晰，语言流畅，真情流露，文字也很美。跟随作者的脚步，我们一直向南方进发，草木的香气扑鼻而来，花儿开了，是别样的火红，走进南国的草木深处，小溪清清，果实累累，剖开一枚异果，香甜弥漫，令人陶醉，令人口水要流出来了。作者，让我们领略了无数的奇花异果，长了眼界，长了知识，满足了好奇心。好书，我推荐。
0,内容和以往的亦舒小说很不一样，悬疑重重，女主角的命运也太惨了，无父母可依傍，原来的良人一遇上经济打击就退化成魔鬼，伸出援手的友人另有所图，又和朋友的丈夫扯上暧昧，等到觉察出危机已遭灭顶之灾。看得人冷汗都要出来了，觉得女主角某种程度上缺乏决断，性情比较软弱，还未看得透彻就想托付未来以过安定的日子，可惜往往慢了一拍，事情就大不相同。可怜的福在。
0,环境还不错，我姐她们指定住的地方，住过很多次了喜欢。。。
0,"装完系统后,用起来速度还是可以的,关键拿在手里很轻,携带方便。"
0,不过，对于一些阴谋论调，将信将疑，网上一搜，大家议论纷纷，我想写的最详尽的当属天涯的这篇了吧http://cache.tianya.cn/publicforum/content/develop/1/140524.shtml学术争鸣是好事，不过回头想想，这本书的确有点小说版的正史
0,我的胃告诉我，我已经爱上你了@蒙牛老酸奶
1,打死不喝 蒙牛的奶质量真是猛 和蒙 叫嚣的态度才真是牛 品牌的成功解释
1,书的印刷质量很差，有盗版书的感觉，很多页字迹模糊，看起来很费眼。书到了感觉很失望，找不到阅读的感觉。
1,非常一般，有点乱，不喜欢。（发表评论，还要有字数限制，真是无语阿！）
1,首先我买是看了你们的评论才买的，我承认我上当了。书很薄，我以前给我小孩买的书基本上纸要比这个厚很多，这个拿在手上很小，没有质感。我看了下15本摞在一起厚度还不到5厘米。另外装订的很差，每本书都是一个订书钉固定，这样的书小孩看是很危险的，我小宝以前就被这样的书割伤过嘴，小孩子看书没那么老实的，所以我以后买的书都是无钉的。大家看好了，想明白了再买呀，不要看评论很好价格不贵久买了，我现在的书就那么扔着呢，一点用没有。
1,牛不牛随您，买不买随我 同问 蒙牛为什么就这么牛？@安琪儿813：蒙牛屡次出问题，不见监管部门处罚，不见蒙牛道歉。广告满天飞。蒙牛为什么就这么牛？
1,"色彩颗粒感强,声音小,最可恶的是,机子一般用了一年多一点,肯定就不能开机.送修说是软件问题,就要你换主板,修理好了,用不过2-3个月又是同样的问题,气死人了.什么破手机,设置了机关骗人钱财.大家不要买它的害人手机."
0,"性价比好的机器!再多上了1G的内存,跑起来也不慢...... 加上面运就更加优惠了~~~"
0,酒店不错 房间很大 外面是条单行线 车不多 比较安静 交通方便 缺点就是：早餐太差 非常差 比最差的招待所都差 千万不要在酒店吃 早上出门 向左转 200米有个早餐摊 还不错
0,这是最好的酒店之一了，曾经住过的。它有其他酒店缺少的古朴环境，占地又特大！古典和现代的优雅结合！安静的房间，是因为掩映在了古树林中。很棒的感觉！有机会就回去的。
0,智永千字文是千字文中的上品，即使这样，当前的许多出版社也因种种原因，将它印制的很差劲。而本集字古文，主编、印刷的水平很高——因为我同时买了几个类似的版本，上海书画社的是最好的。集字古文的排版是一个很专业的工作，不是很高艺术素养的，绝对做不好。以前我见过很多集子，这一本，书法布局浑然一体，几乎感觉就是智永创作的一样。
1,由于房间里面的水是锈水，大堂副理免费升级到套间，由于我预定3天，讲好头2晚是478，第三晚是578。结果第三天直接告诉只能是678，经过与携程反映也没有效果，原因就是第三天有一批人来此开会，房间不够，故意把住客赶走。坚决再也不住这里了。态度十分差劲。
1,"书的印刷看起来也不好,画面也不漂亮,内容的连惯性也不好,所以让人看起来一点也不能吸引孩子的兴趣和眼球,只是实在不想睡觉看一下,起催眠作用.作为家长来说,我也不爱讲这几本书."
0,"东西上午拿到了,和之前买的另一款sl400的样子一样,就是比它慢一点,不知道质量好不好,现在还没有发现问题东西还行,现在使用了半天还没有发现问题,就是慢一点"
1,我不明白，为什么会有这么多的人追捧这本书呢，我也是受了崇众思想的影响，一口气买了好多本，用来自己看，用来送朋友。可是，当我看了一半以后，就受不了了。整个书就是一东拼西凑的大杂烩，从现在流行的各种养生书籍，或是哪里抄录一些所谓的养颜宝典，再加上作者卖力的炫耀自己的所谓幸福，是在没有什么可读性。当然，作者还是很聪明的，知道，什么是卖点，知道，已经老了的和快要老了的女人的心理。或许就根本不是什么31岁美女写的，搞不好就是一胡子拉碴的邋遢男编辑的作品呢
0,我刚拿到书，也没有仔细阅读，就是粗粗的翻了点，觉得还行。里面是蓝黑两种颜色的，有些单词的下面还会有历年考到的题目，可以让人加深印象，不错。有点不是很舒服，就是光盘是夹在书中间的，光盘外的那个纸做的封面，是固定在书中间的，不容易拆下来。如果只把光盘拿出来，封面留在那的话，对于我来说，书中间夹了个东西，我会觉得有点不顺手。整体的版面，看着还算舒服。
1,"3月1号订的,3月15号还没到货 客服每天说下个工作日能到货已经连续5天了 我无语。想早点儿看这本书的人还是去陶宝或卓越上订吧,尤其是广东省的朋友.当当送货太没保证了."
0,有点就不说了，很超值的一款机器，盯了有半年多了，这里一降价就下单了，太诱惑
1,内容丰富，很适合亲子共读，彩图贴切生动，我和儿子读了一遍，儿子就记住了里面精彩的故事了
0,因为电视剧去看了小说在星空卫视看电视剧，因为米仓凉子的决绝而喜欢这部剧，人性的刻画让人战栗而小说，更为压抑和直接看到最后，原来电视剧的色调还是有很多改动的，安岛的爱，原子后来的复仇，都带给人无限希望，而小说，则是把这一切不切实际的幻想一一击碎，有的是，不过人心的贪婪与利益的挣扎原子最后的“救命！”，收尾短促有力，也延续了松本清张的灰色基调，破碎的，不甘的，真实的，残忍的
0,"电池续航时间长,比14?本本携带方便多了.性能应付日常应用没问题."
1,这本书是我在偶然之间逛书店时看见的，当时只是觉得封面很好看，随手翻了翻内容，还不错，等了很久终于等到当当到货，可是买回来看了后发现，其实意义不大，内容有些空洞，不是很实际。有些失望
1,必须承认，这本书的宣传语实在写得好，深深地打动了我的心，于是一次就把1和2 都买了。可惜，拿到一看，除了印刷精美，有几幅漫画插图还可以，其内容真的是很生硬地在搞笑而已。根本不会让我忍不住大笑，也没有吸引我把它一口气读完。对于单词的记忆自然也就谈不上多么生动、深刻、有效了。这样的话感觉就有一点上当受骗了，因此对这套书印象就比较差了，觉得真的是“名”大大大于实的书。希望其他人购买的时候要慎重。
0,看过了《步步惊心》、《大漠谣》、《被时光掩埋的秘密》，期待着《云中歌》。桐华的作品有着无法抗拒的魅力。我喜欢她的文字，期待她有更多好的作品问世。
1,本人觉得内容肤浅   一点都不使用  作者就像是在记流水账  不值得推荐！
0,订了标准间，给了368的房间，感觉还不错，早餐挺丰富。
1,"垃圾,服务生爱理不理.房间残旧不堪,还有异味.酒店最少有20年历史,资料打是开业两年?"
0,除了停车不是很方便，其他的都还不错的，服务质量也很高，市中心的环境也很吸引人，还不错的！
1,蒙牛的那个让我觉得很无奈。。 各种无法直视的智商！！
0,酒店周边环境一般，酒店内设施不错，感觉还挺新，价格也尚可接受。
1,"这本书实在是太烂了,以前听浙大的老师说这本书怎么怎么不对,哪些地方都是误导的还不相信,终于买了一本看一下,发现真是~~~无语,这种书都写得出来"
1,热水器不错，很好用，卖家服务也很好。只是补寄延保卡的速度让人失望！美的售后安装费用太高，配件比市场价格高了不少。
1,我是耐着性子看完的，无非是为了多一点谈资罢了。这样的书也会流行，说明我们大众的阅读水准还真不怎么地！
0,蒙牛的这种调调我喜欢！回复 您好，蒙牛正在变得安全更好，中粮和欧洲最大乳企爱氏晨曦已入主蒙牛，奶源和品控会进一步加强，希望能恢复您对国产奶和蒙牛的信心。
0,买了一段时间了，一直都在用很不错用U盘重新做的新系统，机子运行很快也很稳定。
0,漂亮（老婆认为的），性价比高。电池很棒，能用4～6个小时，兼容性还行，拿到手直接重装了WIN7，基本不需要任何驱动，除了快捷键。
1,收到后，发现光盘上尽然有道裂缝，已联系dangdang退货，建议dangdang换个快递吧。
1,让抵制日货的蠢货们喝蒙牛伊利，吃地沟油去吧！
1,还没有看，看完再发表。我想很多人对这本书的读后感很强，相信大众的眼光。嘿嘿~~
1,8月份为签证，入住该旅馆，也许是首都北京吧，260元一夜，只会想住一次的，一切都是那么旧，好像260元钱不是钱似的。
0,谢谢芳菲和蒙牛帮我们照相，让我有了上镜的机会！
0,一瓶酸奶（冠益乳）下肚后，一炮冲天，那个爽啊！必须是发自肚子的多来几炮撒，一炮=2500瓶冠益乳，谢谢蒙牛，谢谢方大特钢对我的支持
1,2006年4月21日，我在重庆市垫江县移动通信城花了2380.00元购买了飞利浦960手机，使用到五月八日就出现故障。原因是自动关机，于是，我于11日找到垫江县移动通信城销售商后他们就把我的手机发到重庆新瀚科技有限公司售后部进行维修，并更换了主版。5月16日垫江县移动通信城销售商通知我领回手机，使用不到两天再次故障，同样是自动关机，我于19日再次将手机交销售商维修。到目前也没有叫我去取手机，也没有给我一个答复，真是维修手机的时间比我使用的时间还长，买手机买出了麻烦。我试问飞利浦（上海）公司售后服务如此差吗？
1,最近喝多了蒙牛 胸部有点发涨。。。。不知道会不会死！！！！！
0,用了一段时间了，还不错！大牌子就是大牌子
1,书上写的大多数都是大道理。。。不看也明白的那些。。。。
1,"原著还可以,可译成中文后就只不过是一套一般的书了;不知道为什么那么多人说好,我也是上了这些评论的当才买的."
1,设施陈旧，饭店各区域之间的交通混乱，早餐品种少、品质差，优胜之处是周边的交通方便。
1,原来是我浮躁的心使我不能欣赏如此的好才气！重读《今生今世》，竟是又一番滋味。张爱玲说，零用我的名字推销胡兰成的书，不能不避点嫌疑。然而，读胡兰成，是绝没有遗憾的。且不说说他用情浮泛朝秦暮， 单就他的盖世才情便让人不忍心一棍子将他打入十八层地狱。张说，对女人没良心的男人尽有在他方面认真尽耻的。胡便是极好的样本。他称张为“临水照花人”，寥寥数字，而张的境界全出——孤傲，敏感，卓尔不群，却逃不过心灵的篱栅。
0,只看过西西的《解体》。印象已经不深了。记得要不就是标点很少，节奏很快；要不就是标点很多，停顿太多。还是一个比较有才华的女子。
1,装XP非常麻烦，需要准备外置软驱，给光驱及南桥装驱动。官方没有驱动下载。只有打客服电话要他们发给你。尤其声卡，极其麻烦。建议菜鸟要装XP不要买这机子。装Vista的没问题。
1,儿子1年7个月，虽然好多都不是很懂，不过真的很喜欢这套书。
0,"酒店的地理位置非常棒,住的高级商务间.感觉房间非常小.门童和服务生都非常热情.还有免费的水果.地毯和装修有些陈旧~"
1,通话时有电流声，这是真的，不过也不是每次通话时都这样；
1,想请问下怎么HD3200的显卡我用完美解码播放1080P的WMV时CPU占用率90%以上而且会卡？已经打开硬件解码啊。。。
1,"晕，自己吓自己了，刚刚搞明白，这只机子播MP3时音量不能用笔调的，要用手机左侧的上下键调节。怪不得我用笔点了无数次播放器最后面有个声音大小可调节标志都没反应，以为MP3坏掉了！如果不能用,为什么还要这样子做界面,真是的!给机友们提个醒，大家注意一下吧"
0,"一直看着这本书,虽然也有猜想妹妹如斯举动的原因,首先想到的,当然是妹妹其实也看得姐姐与病魔搏斗的太辛苦,虽然感觉也似乎妹妹有得到姐姐的同意而去做取回自己医疗决定权的事.妹妹也是从另外一个角度去守护自己的姐姐.只是没想到的,出了妹妹是姐姐的守护者,姐姐,同样也是妹妹的守护者,毕竟看着爱护自己的妹妹,父母也一起痛苦受罪,姐姐同时也为了守护爱护自己的人....看到最后的结局,有忍不住想哭的冲动,值得看!"
0,"这是一本非常值得看的书。看来希望工程不只是中国有，国外一样也有。以往总认为慈善事业是富人的事。古人云，穷则独善其身，达则兼济天下。可书中这个外国人并不富裕，能做到这种程度，真叫人敬佩。那个帮助他成立基金会的富翁也很有性格，能对朋友说出那样的话：“五十年了,我在喜玛拉雅山区建了一所学校，你做了什么？”大家都看看这本书，除了感动之外，还有深思，我们的慈善事业怎么样？"
1,短信没有彩信功能！无法群发短信！还有，电话薄十分不好用，不实用，没有办法分组和自定义！
1,因为大部分DVD的声音根本听不清楚。只有第一张第六张是好的。现在很后悔买了这个产品。看来盗版的东西真是要碰运气的。
0,这是买第二套了，送给小侄子。故事很有趣，语言轻松活泼，宝宝听了一遍又一遍。故事里隐含的知识点，有的连我自己都不知道，不过都是宝宝特别好奇的东西。宝宝每天都缠着我讲，讲完之后，还要拿后面的游戏来考考我。有时候，我假装不知道，或者故意说错点什么，他就乐得咯咯的。
0,买的第2个epc了，第一个是第一代701，如果想买笔记本请不要购买epc，如果是移动办公、经常出差，epc是最好的选择，华硕的品质，是其他国产贴牌上网本无法比的，物美价廉。
0,非常好的一本书，拿到书，自己先翻看了一遍，书里的大兔子、小兔子动作神情非常生动、可爱，看着看着，不由自主的就笑了。文尾，大兔子轻吻小兔子，在他耳边低语，温馨，就如我家平日的画面。儿子看了也很喜欢，最近常学小兔子一样，拉我的耳朵，对我说：“妈妈，我要说话。”呵呵。早上临走的时候，亲了一下还在床上的儿子，他对我说：“就象小兔子一样。”欣喜！
1,明明买了6本书，只到了3本，也没有说是什么原因，以后怎么信的过？？？？？？？？？？？
0,听同学介绍买了此书，一读之下，果然受益匪浅。文中颇多石破天惊之语，挑战传统理念，却独有建树，老先生对很多问题的阐释另辟蹊径，从人性角度挖掘文化内涵，想想其身处的年代，确实佩服。读完此书，对中国文化史基本心中有数，对于不愿意花大力气去博览全书却又对文化历史感兴趣的朋友来说，值得收藏。因书中并非纯白话文，还夹杂古文，所以需要精心慢慢品尝，我和同学已约好，此书准备研读一生。
0,除了待机时间短，其他都不错
1,也许是我英语不灵光，还是其它原因，反正没有想像中的那样好，哎.......学习英语的路还很长呀！
1,早就不买那两个品牌了！提醒你们的妈妈也别因为便宜而买啦！欺骗国人，该死！ 坚决抵制蒙牛！希望国家加强管理机制！严惩奸商
1,这地方千万别去住了，绣花枕头一个。样子好看，。别的没什么的，大冷天不开空调还说他们觉得没必要开，气的你要死呢。第2天我就搬家了，
1,分区不合理，不过也算是各个厂商的通病 另外就配置的均衡性来说，显卡是比较明显的短板 拖了整个系统的后腿
0,一位朋友说“现在的房子装修得有点过了，不像是房子了，倒像是一个豪华的污染源 ” 我们呆屋里面的时间太长了，很多人提倡我们“走出家门，呼吸大自然的空气”说的轻巧，做起来很难。现代社会使然。我们只能长时间呆在屋里，不管是温馨的家，还是忙碌的办公室。这本书很好，直接?别让房子谋杀你的健康?，我们不能走出去，那我们能保证在屋子里呆着是安全的不就行了。正在装修房子。谢谢当当网！
0,书的内容没话说 很棒！哈利波特这套书是我在读初中的时候开始接触的，当时犹豫经济原因没有买，7年之后有条件买的时候一直想买第一次印刷的版本。在当当上寻觅了很久，根据当当提供的版次信息以为终于找到第一次印刷的版本了，没想到货到后根本不是第一次印刷的（有些甚至是翻印26次的），很伤心，有一种上当受骗的感觉。拜托当当以后服务细致点，要写版次信息就写全，否则就不要写，不要误导消费者。谢谢！
1,"酒店隔音效果极差,没有把团队和散客分开楼层居住,导致早上6:00和晚上1:00团队客人在走廊大声喧哗,我在房内被吵醒2次以上(给电话总台让根本无人理会,最后还是我自己去和客人协商,要求他们回房间聊天."
1,免费接机用的轿车。宽带上网只是一个摆设，根本不能上网，叫了几次前台也没有解决，最后只能用电话线拨号。我住的客房面对公路，隔音效果不好，早上卡车经过很吵。晚上有小姐骚扰电话。对面有韩国旅行团入住，小姐进出频繁。听朋友说那里的小姐比较宰客，谈好的价钱只是台费，最后还会另收天价小费，不给的话，会有鸡头进来跟你谈，挺恐怖的，最好不要尝试。
1,屏幕的边框再窄一点，平方尺寸再小一点就好了。无光驱，装光盘类软件比较麻烦。
1,日货就因为是日本的牌子你就抵制吗？你怎么不去抵制蒙牛？愤青的脑子用什么衡量。
1,1.不支持MP3。2.像头太差。3.基本上没有什麽实用的功能。
1,服务差，怎麼會有一間酒店沒熱水呢?我之前看到是一月的点评说没热方不到现去还是没有，投诉说要换另一家他们居然说叫我可考芦，我马上搬去别家。
1,"这书我看他的丰面时就感觉它是给我一个希望的书,可一看和我的想反了.没什么帮助的.就是觉的失败"
1,在当当一次性订单600多元，可是送货的只把货送到楼下，说：“你的书那么重，我只赚你1.5元，我不可能给你送上楼。如果你自己不拿，那我就把书拿走”。我不知为什么你们之间的矛盾要把我们消费者牵涉进去，我们并没有少付一分钱。请当当给我一个合理的解释。
0,说实话，本来一点也不知道这本书。平时上当当网关注比较多的就是小说与儿童文学。小说是我的最爱，儿童文学是儿子喜欢的。最近，一位朋友推荐了这本书和《念楼学短》。他是一个小学语文老师，教学水平非常高，他说这本书对孩子学习古文有比较大的帮助。每一篇都很短，有利于孩子的学习。六年级的孩子读了以后，都很喜欢。我自己也很喜欢，真的，很不错。自己好象也随着阅读感受着中国优秀古典文学的意境。
1,被评论误导了，没什么意思，内容也太好，讲的道理也太幼稚，好像我们80后都是白痴一样的。我觉得姐姐妹妹还是不要买。举的例子都是韩国的，也不适合我们。
1,快4岁的女儿很喜欢!同时买的还有《女孩子必读的100个公主故事》，因为女儿近期特别喜欢迪士尼的公主，所以买了，同是买了卡梅拉的全套加这个第七册，没想到女儿听公主故事只是听，而这个卡梅拉的她听了还要自己拿过来不断翻看，还发出咯咯的笑声。。。。。。看了几遍了，我发现这是我这几年买的书里她最喜欢的书..
0,空调声音太大了。。。早餐可以去南翔包子吃（出门左走100米）。
0,可以录音六分钟。也好操作，可以当一个录音笔用了。
1,系统预装的Vista用起来让人不爽，另外要是能送1G内存条就更好了。呵呵
1,房间小，服务水平差（原来开的房间房卡进不去，又换一间），环境吵（外面车来车往），卫生间不干净，价格不低，下次肯定不会去了。不过，天津总体感觉都不好，不光光是酒店，还不如南方的小城市。
1,早上蒙牛喝多了？
1,如此配置价格贵。白颜色的不怎么好看，并且机器上没有华硕的标志
1,蒙牛自称是中国男篮指定奶制品，结果中国男篮此次奥运会以零蛋，几乎历史最差成绩耻辱出局。说明喝了蒙牛就打不好篮球了还是继续喝我的三元吧。。。
0,《听杨绛谈往事》可以视为杨绛的个人传记，通读之可加深对杨绛先生的了解。从杨绛的一生中，我们可以了解一代文学大师是如何坚守自我，她与钱钟书先生又是如何坚守他们的立场，同时更可以了解他们所处时代的风云际会。读完此书，让我感受至深的是杨绛先生面对钱钟书和钱瑗两人同时卧床不起时的艰难心境。当钱瑗离开人世时，她既哀恸悲伤，又要瞒着钱钟书，不让他得知这个噩耗，实在是让人动容……
0,西楼海景房实际面对的是一片工地，正在施工，不过还好，不影响睡眠。免费升级到了一个家庭套房，有3张床。不过卫生间小点，尤其是台盆。酒店服务还是不错，热情。就是Check out怎么到中午高峰时段只有一个人。酒店house keeping也不会补拖鞋。
1,以后渴死也不喝蒙牛了，只给仇家送蒙牛。这玩意儿太毒了，我觉得举重运动员降体重的时候可以用……
0,一直以为练瑜伽是件有百益而无一害的事情。后来网上有看到不正确的瑜伽动作可能造成意想不到的伤害，比如一些瑜伽教练过分追求一些高难度的动作，造成关节、韧带或肌肉的损伤。才让我下定决心买一本了解人体骨骼肌肉构造的书。这本《哈他瑜伽关键肌肉全解》就满足了这个需求。彩图、并分区介绍了人体的骨骼和肌肉组织，以及瑜伽动作触发的肌肉和骨骼。美中不足的是瑜伽的动作少了点。
1,不赠送杀毒软件，只有使用60天的。价格偏高。有些地方2900.因为急着要用，所以图方便下单了。可能是电池的原因，机器有点重。确实战指纹。
1,六心电池装在后面突出一大块影响美观，速度慢机器有点卡，放歌一停顿一停顿，重量比一般的上网本重，触摸板鼠标反应不灵敏，滑的区域太小，
0,目前的配置应该是最低价。光驱不是蓝光的！还有内存芯片超好“尔必达”的。
0,地理位置不错，离去机场大大巴站很近，周围吃饭很方便，有一家齐齐火锅不错，也很便宜.
1,酒店的地理位置不好，出门要门童叫个出租车，等了10分钟门童才把车叫过来，慢！洗澡花洒的出水一点不大，不急和五星的酒店设施一点也不配！最奇怪的时，我退房的时候边上有个人在check in 好像也是通过携程预定的，前台居然在和他说，你可以把携程的预定取消，我们现在的前台价格比携程的低，还有什么其他优惠什么的，真的，那个客人把携程的预定取消了，按前台给的价格check in了。携程如果不相信的话 你们可以查我退房那天中午11点左右的时候有没有取消这个酒店的预定，好像是个台湾人。
1,以前在书店看过，是和A4纸差不多大的，结果拿到，只有一半大，根本没有那种感觉。宝宝都不喜欢。
0,老五星级酒店，358元标房，价格实惠，就是房间电视太小，其他不错。
0,轻薄小巧，做工看上去不错。最重要的是，价格很便宜，以性价比取胜。
0,买的好多搞笑的书都是很牵强的搞笑，在《清空万里》以后再也没有看到真正搞笑的小说了，这本小说让我眼睛一亮。。。女主的乐观与宽容让偶的心都跟着她上上下下，希望她能平安的报酬拐到她的美男老公，总是在情意绵绵的桥段中突然来个大拐弯，让人忍不住爆笑蛮好看的，最近看多了悲文，看这个调剂一下还不错，偶会看第二遍的。。。
0,1、 普天三洋SCP-820手机运用简约的线条勾勒出方方正正的手机造型， 金属色调的塑料外壳具有极强的质感体现。2、 普天三洋SCP-820手机在铃声方面采用了32和弦铃声，铃声响亮清澈的，音色纯正而丰富。内置数十首组铃声，可以丰富使用者的铃声生活。令用户每天都有好的心情。 3、 SCP-820手机配有一个30万像素的摄像头，配有内置闪光灯组件。支持4倍变焦功能，还有其独有的36张连拍功能和照片合成功能。4、 普天三洋SCP-820手机具有输入联想功能，而且联想内容比较丰富。5、 外置扩音器可以使32和弦的铃声更加的美妙动听。 6、 普天三洋SCP-820手机支持彩e功能和上网功能。
1,我们是5月1日通过携程网入住的，条件是太差了，根本达不到四星级的标准，所有的东西都很陈旧，卫生间水龙头用完竟关不上，浴缸的漆面都掉了，估计是十年前的四星级吧，总之下次是不会入住了。宾馆反馈 2008年6月1日 ： 我们酒店于94正式挂牌为四星级酒店，06年和08年逐步装修了四个楼层，客房档次不同，设备新旧程度也不同，欢迎用户下次入住选择我们新装修的房间。
1,1、手机买回来把电池冲满后，使用了一天半时间，估计电话有半小时吧，还玩了一小会，短信发了有15条，总体感觉电池确实不如意，不知道过段时间完全激活后会不会好点。估计也就这样了。2、手机发短信不是很方便，有点慢，还有手机容易发热，而且很烫，不过可能是小薄的原因，不影响使用！
1,"你妈逼监管部门都死绝了吗？ /可怕，以后别吃蒙牛制品了 ,自打三聚事故后蒙牛、伊利就被我和家人封杀了!抵制蒙牛一切产品，这个企业已经烂透了。"
1,书一到打开就放不了手，一天时间就看完了，想着若干年前要是看了这本书对自己的求职会有帮助的
1,1、没有想象中的那么强悍，尤其是显卡！2、这样的配置摊上这么个破系统，算是白瞎了，新机器用起来就不是很快，让我如何忍受！不过这不能怪京东，只能怪华硕！
1,买来没几天就发现作为卖点的音箱杂音特别的啊，用耳机的时候就正常，如果用外放，不管是播放什么声音里面都有杂音，而且不是一点，是好像什么东西破了的金属杂音。去华硕售后检测说必须进行音响的更换才可以解决问题
1,发短信超慢 还赶不上我打字速度；易花屏；易死机；屏保少；讨厌红色按键背光；闹钟响后还是关机
1,只要读一读南怀瑾老先生的《论语别裁》，就发现于丹的心得是多么的肤浅，感觉南怀瑾与于丹在一起，就象大学教授与小学生在一起一样。
1,居然没其它附件，鼠标，包这种，再怎么也要有的吧。还有就是太热了！GPU随便就到70摄氏度，CPU也要六十度以上，夏天使用让人担心啊
0,： 性价比不错，做工精致，外观尚可，很适合工科生用   这个配置和价位真的很合适，完全够用，而且小黑的质量非常不错。外观不错，我比较喜欢整体都是黑色的本本，所以我对此本非常满意！另外，本本整体感觉本本很结实！
1,内存只有1G，小了点，自己又买了根2G KST667装上 主板是SIS芯片组
1,买回来只翻了几页就发现不是地道的英语或美语，毕竟是韩国人写的，想想自己真可笑，想学英语居然不去买英美的作品，反倒是去韩国人的作品。现在只有当垃圾扔了，白浪费了钱。
1,失望！以为是有具体的朗读内容的书呢！结果根本没有！略略翻了一下便扔到一边了！失败的购买！
1,我勉强用了一年了，当时是2700买得，都有是广告骗人呀，大家以后不要再用波导了。难看，没有耳机，死机，短信一次输入的太少，总之，没有优点。
1,本机最大的缺点就是 “CPU散热不是铜片，偷工减料用的别的金属”就算安装了AMD的升级程序，CPU温度还是经常的在70度以上，时不常的还到85度，甚至89度，还是在没有开大型游戏的情况下，背部也较烫手
0,总的来说还是不错的，除了床小点，改换大的，其他还是不错的，新装修，服务也不错！
0,也或许，你看完A型、B型、 O 型、AB型这所有的四本说明书后，觉得书里所言都不怎么确切，那么恭喜你。在你身上，一种新型的血液很可能已经诞生了。你不妨为自己的血型起一个独特的名字，比如说，X型，然后，你就动手为自己也写一个《X型人说明书》吧。说不定，很多的X型会因此找到共鸣，觉得自己在这世界上，再也不孤单了呢。
0,全五星，一口气买了9个，客人用作都说好...50升和40升的，宾馆用.
0,前台小姑娘很有意思，经常入住，都熟了，呵呵
0,样子漂亮，键盘很帅，手感也很好 用了几天了，除了最上面那个快捷键按着没反应外其他的都还好 发货速度很快
0,外观不错，女生用着很时尚！个人认为这样性能的和这样屏幕，这样价格的，就属它最好了！配了个雷柏的无线笔记本鼠标完美了！虽然说是塑料材质，不过真是对的起这份价格了，总不能这样价格要求弄个镁合金的吧！太不现实了！有高清支持，放家里客厅输出电视当HTPC绰绰有余！绝对超值！酷睿双核是个亮点，虽然发热有点大，不过总体上控制的还不错！有多合一读卡器，方便有数码产品的人！有摄像头，有内置麦！配件和说明书很全面！
1,合上盖子的时候感觉要很用力；vx600x毕竟不是VX600 多个X就差了好多、VISTA系统;酷睿变赛扬；所谓的ECHO亮度模式也没有；ATI的显卡驱动要先装.NET FRAMEWORK2.0反反复复
1,"一点都不好看,也不好笑,讲的东西不实用,生活中不太会用到的!!"
0,这书的装帧很好的，既适合家庭收藏亦适合阅读了解。了解一个人，通过他的书信，而且是家书，再好不过了，而了解这个人也更了解些那个时代，那个社会，给我们现代人些许启发吧。而我从中也知道了他的学习习惯、方法以及教子方面。比较有收获。软精装的封面，封面要是每个唐老师那个照片就更好了，分上下册便于阅读。内里字体有分别：信是用的启功老师的手写字体，评点是宋体。
0,隔壁印尼留学生们开了家小店，卖甜品香蕉，学生们都在模仿进店来的中国人反应:太贵喇！~~哪是，蒙牛与伊利就聪明多了，果粒加多多酸奶，还便宜又更好吃，还有包装，卖向全国。
0,摄像头，麦克风效果不错 整体速度很好 装的Vista系统，驱动很全
1,不带XP驱动，而且在网上很难找到，鼠标触摸屏驱动找不到，要正常使用只能用vista系统。挺麻烦的。 物流太粗心，送货都能把货忘在别的客户家里忘记送，无语。。
1,不喝蒙牛
0,酒店服务态度好，入住时有大型会议在此召开，房间无骚扰电话，靠近江边，步行十分钟即可吃到当地有名的三江鱼、坨坨鱼、西坝豆腐等特色菜。下次还住这里。打车十分方便，附近司机无人不知此酒店。
0,蒙牛这香蕉牛奶太可爱啦
0,"杜拉拉升职记语言简洁流畅，主线清晰，拉拉的倔驴脾气和聪慧、做事的专注给人留下时刻的印象，职场秘笈让我受益匪浅。可是第二部给人的感觉就不好了，琐碎，没有主题，拉拉的智慧不见了，执著也不见了。书变厚了，闪光却每了。故事最终的齐浩天访广州，拉拉不知道这个情节太失败了，拉拉不仅是HR,更重要的她还是行政主管，总裁出访，行政主管怎么可能不知道呢？说不通。"
0,这已经是我第二次入住该酒店了。酒店是在市中心，没想到这次入住酒店有了泊车服务，让人感觉停车很方便。办理入住登记时，前台小姐也礼貌热情。我住的客房是标准B，房间不错，退房结帐时行李员主动帮我提着行李，前台服务员操作快捷。总的来说，这家酒店很不错，听服务员介绍，该酒店还有更好房间，好象是贵宾楼的，下次我决定住住看那种房间。
0,好评！
0,交通挺方便，服务也不错，附近走不远就有很多吃的地方，挺好，就是电梯需要用房间钥匙很麻烦。补充点评 2008年7月14日 ： 电视的台少了些，就那么十来个吧，还很多外国台，国内的地方台大部分看不到，这点不怎么好。
0,蒙牛红豆雪糕，味道还不错~~~
1,"乱七八糟,错漏百出,没想到当当还卖这样的书!"
